task_id,target,condition,n_source_contexts,n_source_cells,weight_sum,target_perturbed_expression_rows_opened
RPE1::MYBBP1A+ctrl,RPE1,MYBBP1A+ctrl,3,270,270,0
RPE1::MYBL2+ctrl,RPE1,MYBL2+ctrl,2,210,210,0
RPE1::NAA10+ctrl,RPE1,NAA10+ctrl,3,257,257,0
RPE1::NAA20+ctrl,RPE1,NAA20+ctrl,3,296,296,0
RPE1::NACA+ctrl,RPE1,NACA+ctrl,3,426,426,0
RPE1::NCAPH+ctrl,RPE1,NCAPH+ctrl,1,64,64,0
RPE1::NCBP1+ctrl,RPE1,NCBP1+ctrl,2,98,98,0
RPE1::NCBP2+ctrl,RPE1,NCBP2+ctrl,3,832,832,0
RPE1::NDC80+ctrl,RPE1,NDC80+ctrl,1,171,171,0
RPE1::NDUFA2+ctrl,RPE1,NDUFA2+ctrl,2,142,142,0
RPE1::NELFA+ctrl,RPE1,NELFA+ctrl,3,251,251,0
RPE1::NELFCD+ctrl,RPE1,NELFCD+ctrl,3,338,338,0
RPE1::NFRKB+ctrl,RPE1,NFRKB+ctrl,3,458,458,0
RPE1::NFS1+ctrl,RPE1,NFS1+ctrl,3,186,186,0
RPE1::NOC3L+ctrl,RPE1,NOC3L+ctrl,3,327,327,0
RPE1::NOL8+ctrl,RPE1,NOL8+ctrl,3,383,383,0
RPE1::NOL11+ctrl,RPE1,NOL11+ctrl,3,411,411,0
RPE1::NOL12+ctrl,RPE1,NOL12+ctrl,3,267,267,0
RPE1::NRBP1+ctrl,RPE1,NRBP1+ctrl,3,187,187,0
RPE1::NRDE2+ctrl,RPE1,NRDE2+ctrl,2,546,546,0
RPE1::NRF1+ctrl,RPE1,NRF1+ctrl,1,71,71,0
RPE1::NSRP1+ctrl,RPE1,NSRP1+ctrl,1,188,188,0
RPE1::NUBP1+ctrl,RPE1,NUBP1+ctrl,3,197,197,0
RPE1::NUF2+ctrl,RPE1,NUF2+ctrl,2,427,427,0
RPE1::NUP54+ctrl,RPE1,NUP54+ctrl,3,324,324,0
RPE1::NUP85+ctrl,RPE1,NUP85+ctrl,3,278,278,0
RPE1::NUP133+ctrl,RPE1,NUP133+ctrl,3,303,303,0
RPE1::NUP160+ctrl,RPE1,NUP160+ctrl,2,289,289,0
RPE1::NUTF2+ctrl,RPE1,NUTF2+ctrl,2,124,124,0
RPE1::OGFOD1+ctrl,RPE1,OGFOD1+ctrl,3,221,221,0
RPE1::OPA1+ctrl,RPE1,OPA1+ctrl,2,92,92,0
RPE1::ORC1+ctrl,RPE1,ORC1+ctrl,3,576,576,0
RPE1::PABPN1+ctrl,RPE1,PABPN1+ctrl,3,163,163,0
RPE1::PAF1+ctrl,RPE1,PAF1+ctrl,3,309,309,0
RPE1::PAM16+ctrl,RPE1,PAM16+ctrl,3,167,167,0
RPE1::PAXBP1+ctrl,RPE1,PAXBP1+ctrl,3,308,308,0
RPE1::PCID2+ctrl,RPE1,PCID2+ctrl,3,357,357,0
RPE1::PDAP1+ctrl,RPE1,PDAP1+ctrl,3,135,135,0
RPE1::PDCD2+ctrl,RPE1,PDCD2+ctrl,3,195,195,0
RPE1::PDCD7+ctrl,RPE1,PDCD7+ctrl,3,143,143,0
RPE1::PDRG1+ctrl,RPE1,PDRG1+ctrl,3,192,192,0
RPE1::PELP1+ctrl,RPE1,PELP1+ctrl,3,297,297,0
RPE1::PET117+ctrl,RPE1,PET117+ctrl,3,278,278,0
RPE1::PFDN2+ctrl,RPE1,PFDN2+ctrl,3,171,171,0
RPE1::PGAM1+ctrl,RPE1,PGAM1+ctrl,2,292,292,0
RPE1::PHAX+ctrl,RPE1,PHAX+ctrl,3,516,516,0
RPE1::PHB2+ctrl,RPE1,PHB2+ctrl,3,368,368,0
RPE1::PMPCB+ctrl,RPE1,PMPCB+ctrl,3,819,819,0
RPE1::PNN+ctrl,RPE1,PNN+ctrl,3,276,276,0
RPE1::POLA1+ctrl,RPE1,POLA1+ctrl,2,252,252,0
RPE1::POLA2+ctrl,RPE1,POLA2+ctrl,2,237,237,0
RPE1::POLD2+ctrl,RPE1,POLD2+ctrl,3,162,162,0
RPE1::POLD3+ctrl,RPE1,POLD3+ctrl,2,139,139,0
RPE1::POLR1C+ctrl,RPE1,POLR1C+ctrl,1,161,161,0
RPE1::POLR2F+ctrl,RPE1,POLR2F+ctrl,3,301,301,0
RPE1::POLR2I+ctrl,RPE1,POLR2I+ctrl,3,391,391,0
RPE1::POLR3D+ctrl,RPE1,POLR3D+ctrl,3,199,199,0
RPE1::POLR3E+ctrl,RPE1,POLR3E+ctrl,3,317,317,0
RPE1::POLR3F+ctrl,RPE1,POLR3F+ctrl,3,248,248,0
RPE1::POLRMT+ctrl,RPE1,POLRMT+ctrl,3,456,456,0
RPE1::POP4+ctrl,RPE1,POP4+ctrl,3,321,321,0
RPE1::POP5+ctrl,RPE1,POP5+ctrl,3,331,331,0
RPE1::POP7+ctrl,RPE1,POP7+ctrl,3,365,365,0
RPE1::PPARGC1B+ctrl,RPE1,PPARGC1B+ctrl,1,129,129,0
RPE1::PPIE+ctrl,RPE1,PPIE+ctrl,2,80,80,0
RPE1::PPIH+ctrl,RPE1,PPIH+ctrl,3,194,194,0
RPE1::PPIL4+ctrl,RPE1,PPIL4+ctrl,3,174,174,0
RPE1::PPP1R8+ctrl,RPE1,PPP1R8+ctrl,3,215,215,0
RPE1::PPP1R11+ctrl,RPE1,PPP1R11+ctrl,3,202,202,0
RPE1::PPP2R1A+ctrl,RPE1,PPP2R1A+ctrl,3,892,892,0
RPE1::PPP4R2+ctrl,RPE1,PPP4R2+ctrl,2,237,237,0
RPE1::PRIM2+ctrl,RPE1,PRIM2+ctrl,2,183,183,0
RPE1::PRMT1+ctrl,RPE1,PRMT1+ctrl,3,117,117,0
RPE1::PRMT5+ctrl,RPE1,PRMT5+ctrl,3,371,371,0
RPE1::PRPF18+ctrl,RPE1,PRPF18+ctrl,3,353,353,0
RPE1::PRRC2A+ctrl,RPE1,PRRC2A+ctrl,3,223,223,0
RPE1::PSMA2+ctrl,RPE1,PSMA2+ctrl,2,64,64,0
RPE1::PSMA3+ctrl,RPE1,PSMA3+ctrl,2,232,232,0
RPE1::PSMA6+ctrl,RPE1,PSMA6+ctrl,2,37,37,0
RPE1::PSMB2+ctrl,RPE1,PSMB2+ctrl,3,115,115,0
RPE1::PSMB3+ctrl,RPE1,PSMB3+ctrl,2,56,56,0
RPE1::PSMB6+ctrl,RPE1,PSMB6+ctrl,3,191,191,0
RPE1::PSMC1+ctrl,RPE1,PSMC1+ctrl,3,234,234,0
RPE1::PSMC2+ctrl,RPE1,PSMC2+ctrl,3,321,321,0
RPE1::PSMC4+ctrl,RPE1,PSMC4+ctrl,2,196,196,0
RPE1::PSMD1+ctrl,RPE1,PSMD1+ctrl,2,107,107,0
RPE1::PSMD4+ctrl,RPE1,PSMD4+ctrl,3,367,367,0
RPE1::PSMD6+ctrl,RPE1,PSMD6+ctrl,2,308,308,0
RPE1::PSMD11+ctrl,RPE1,PSMD11+ctrl,2,64,64,0
RPE1::PSMD12+ctrl,RPE1,PSMD12+ctrl,3,144,144,0
RPE1::PTCD1+ctrl,RPE1,PTCD1+ctrl,3,364,364,0
RPE1::QARS+ctrl,RPE1,QARS+ctrl,3,547,547,0
RPE1::RABGGTA+ctrl,RPE1,RABGGTA+ctrl,3,522,522,0
RPE1::RAD21+ctrl,RPE1,RAD21+ctrl,2,81,81,0
RPE1::RAN+ctrl,RPE1,RAN+ctrl,2,135,135,0
RPE1::RARS2+ctrl,RPE1,RARS2+ctrl,3,409,409,0
RPE1::RBBP4+ctrl,RPE1,RBBP4+ctrl,3,135,135,0
RPE1::RBM17+ctrl,RPE1,RBM17+ctrl,2,82,82,0
RPE1::RBM25+ctrl,RPE1,RBM25+ctrl,3,109,109,0
RPE1::RBM39+ctrl,RPE1,RBM39+ctrl,2,99,99,0
RPE1::RBM42+ctrl,RPE1,RBM42+ctrl,3,151,151,0
RPE1::RBM48+ctrl,RPE1,RBM48+ctrl,3,212,212,0
RPE1::RBMX+ctrl,RPE1,RBMX+ctrl,1,110,110,0
RPE1::RCL1+ctrl,RPE1,RCL1+ctrl,3,403,403,0
RPE1::RFC2+ctrl,RPE1,RFC2+ctrl,3,175,175,0
RPE1::RFC4+ctrl,RPE1,RFC4+ctrl,3,125,125,0
RPE1::RFC5+ctrl,RPE1,RFC5+ctrl,2,149,149,0
RPE1::RINT1+ctrl,RPE1,RINT1+ctrl,3,304,304,0
RPE1::RNASEH2C+ctrl,RPE1,RNASEH2C+ctrl,3,438,438,0
RPE1::RNF20+ctrl,RPE1,RNF20+ctrl,3,273,273,0
RPE1::RNF113A+ctrl,RPE1,RNF113A+ctrl,3,260,260,0
RPE1::RNMT+ctrl,RPE1,RNMT+ctrl,3,231,231,0
RPE1::RNPS1+ctrl,RPE1,RNPS1+ctrl,3,95,95,0
RPE1::RPA1+ctrl,RPE1,RPA1+ctrl,2,371,371,0
RPE1::RPAP1+ctrl,RPE1,RPAP1+ctrl,3,249,249,0
RPE1::RPL4+ctrl,RPE1,RPL4+ctrl,3,386,386,0
RPE1::RPL5+ctrl,RPE1,RPL5+ctrl,3,249,249,0
RPE1::RPL7+ctrl,RPE1,RPL7+ctrl,3,464,464,0
RPE1::RPL9+ctrl,RPE1,RPL9+ctrl,3,282,282,0
RPE1::RPL10+ctrl,RPE1,RPL10+ctrl,3,333,333,0
RPE1::RPL11+ctrl,RPE1,RPL11+ctrl,3,379,379,0
RPE1::RPL12+ctrl,RPE1,RPL12+ctrl,3,306,306,0
RPE1::RPL14+ctrl,RPE1,RPL14+ctrl,3,270,270,0
RPE1::RPL17+ctrl,RPE1,RPL17+ctrl,3,251,251,0
RPE1::RPL18+ctrl,RPE1,RPL18+ctrl,3,348,348,0
RPE1::RPL21+ctrl,RPE1,RPL21+ctrl,3,281,281,0
RPE1::RPL23A+ctrl,RPE1,RPL23A+ctrl,3,201,201,0
RPE1::RPL26+ctrl,RPE1,RPL26+ctrl,3,404,404,0
RPE1::RPL32+ctrl,RPE1,RPL32+ctrl,3,339,339,0
RPE1::RPL34+ctrl,RPE1,RPL34+ctrl,3,332,332,0
RPE1::RPL35+ctrl,RPE1,RPL35+ctrl,3,179,179,0
RPE1::RPL35A+ctrl,RPE1,RPL35A+ctrl,3,368,368,0
RPE1::RPL37A+ctrl,RPE1,RPL37A+ctrl,3,424,424,0
RPE1::RPL38+ctrl,RPE1,RPL38+ctrl,3,232,232,0
RPE1::RPL39+ctrl,RPE1,RPL39+ctrl,3,216,216,0
RPE1::RPLP0+ctrl,RPE1,RPLP0+ctrl,3,273,273,0
RPE1::RPP30+ctrl,RPE1,RPP30+ctrl,3,310,310,0
RPE1::RPS2+ctrl,RPE1,RPS2+ctrl,3,234,234,0
RPE1::RPS3+ctrl,RPE1,RPS3+ctrl,3,374,374,0
RPE1::RPS3A+ctrl,RPE1,RPS3A+ctrl,3,276,276,0
RPE1::RPS6+ctrl,RPE1,RPS6+ctrl,3,346,346,0
RPE1::RPS10+ctrl,RPE1,RPS10+ctrl,3,188,188,0
RPE1::RPS15+ctrl,RPE1,RPS15+ctrl,3,165,165,0
RPE1::RPS15A+ctrl,RPE1,RPS15A+ctrl,3,351,351,0
RPE1::RPS19BP1+ctrl,RPE1,RPS19BP1+ctrl,3,209,209,0
RPE1::RPS20+ctrl,RPE1,RPS20+ctrl,3,311,311,0
RPE1::RPS24+ctrl,RPE1,RPS24+ctrl,3,346,346,0
RPE1::RPS27+ctrl,RPE1,RPS27+ctrl,3,312,312,0
RPE1::RPS27A+ctrl,RPE1,RPS27A+ctrl,3,367,367,0
RPE1::RPS29+ctrl,RPE1,RPS29+ctrl,3,360,360,0
RPE1::RPTOR+ctrl,RPE1,RPTOR+ctrl,3,159,159,0
RPE1::RRN3+ctrl,RPE1,RRN3+ctrl,3,184,184,0
RPE1::RRP12+ctrl,RPE1,RRP12+ctrl,3,380,380,0
RPE1::RSL1D1+ctrl,RPE1,RSL1D1+ctrl,3,383,383,0
RPE1::RTF1+ctrl,RPE1,RTF1+ctrl,3,108,108,0
RPE1::RUVBL1+ctrl,RPE1,RUVBL1+ctrl,3,227,227,0
RPE1::SAMM50+ctrl,RPE1,SAMM50+ctrl,3,165,165,0
RPE1::SARS2+ctrl,RPE1,SARS2+ctrl,3,264,264,0
RPE1::SART3+ctrl,RPE1,SART3+ctrl,3,649,649,0
RPE1::SBNO1+ctrl,RPE1,SBNO1+ctrl,3,245,245,0
RPE1::SCAF1+ctrl,RPE1,SCAF1+ctrl,3,313,313,0
RPE1::SCFD1+ctrl,RPE1,SCFD1+ctrl,2,149,149,0
RPE1::SDAD1+ctrl,RPE1,SDAD1+ctrl,3,402,402,0
RPE1::SDC1+ctrl,RPE1,SDC1+ctrl,2,229,229,0
RPE1::SDE2+ctrl,RPE1,SDE2+ctrl,2,158,158,0
RPE1::SDHC+ctrl,RPE1,SDHC+ctrl,3,187,187,0
RPE1::SETD1A+ctrl,RPE1,SETD1A+ctrl,3,200,200,0
RPE1::SETDB1+ctrl,RPE1,SETDB1+ctrl,3,310,310,0
RPE1::SF1+ctrl,RPE1,SF1+ctrl,2,45,45,0
RPE1::SF3A2+ctrl,RPE1,SF3A2+ctrl,3,463,463,0
RPE1::SF3B5+ctrl,RPE1,SF3B5+ctrl,2,149,149,0
RPE1::SFPQ+ctrl,RPE1,SFPQ+ctrl,2,237,237,0
RPE1::SFSWAP+ctrl,RPE1,SFSWAP+ctrl,3,226,226,0
RPE1::SKA3+ctrl,RPE1,SKA3+ctrl,2,166,166,0
RPE1::SLBP+ctrl,RPE1,SLBP+ctrl,3,185,185,0
RPE1::SLC7A6OS+ctrl,RPE1,SLC7A6OS+ctrl,3,136,136,0
RPE1::SLC39A9+ctrl,RPE1,SLC39A9+ctrl,3,793,793,0
RPE1::SLU7+ctrl,RPE1,SLU7+ctrl,3,529,529,0
RPE1::SMC1A+ctrl,RPE1,SMC1A+ctrl,3,269,269,0
RPE1::SMC3+ctrl,RPE1,SMC3+ctrl,1,42,42,0
RPE1::SMC4+ctrl,RPE1,SMC4+ctrl,2,195,195,0
RPE1::SMG5+ctrl,RPE1,SMG5+ctrl,3,442,442,0
RPE1::SMN2+ctrl,RPE1,SMN2+ctrl,2,765,765,0
RPE1::SMU1+ctrl,RPE1,SMU1+ctrl,1,101,101,0
RPE1::SNAPC1+ctrl,RPE1,SNAPC1+ctrl,3,195,195,0
RPE1::SNIP1+ctrl,RPE1,SNIP1+ctrl,3,110,110,0
RPE1::SNRNP70+ctrl,RPE1,SNRNP70+ctrl,2,142,142,0
RPE1::SNRNP200+ctrl,RPE1,SNRNP200+ctrl,3,204,204,0
RPE1::SNRPB+ctrl,RPE1,SNRPB+ctrl,3,179,179,0
RPE1::SNRPC+ctrl,RPE1,SNRPC+ctrl,3,150,150,0
RPE1::SNRPD1+ctrl,RPE1,SNRPD1+ctrl,3,159,159,0
RPE1::SNRPD3+ctrl,RPE1,SNRPD3+ctrl,3,175,175,0
RPE1::SNRPF+ctrl,RPE1,SNRPF+ctrl,3,144,144,0
RPE1::SNW1+ctrl,RPE1,SNW1+ctrl,1,115,115,0
RPE1::SPC24+ctrl,RPE1,SPC24+ctrl,1,95,95,0
RPE1::SPCS3+ctrl,RPE1,SPCS3+ctrl,3,264,264,0
RPE1::SRBD1+ctrl,RPE1,SRBD1+ctrl,2,279,279,0
RPE1::SRRM1+ctrl,RPE1,SRRM1+ctrl,3,234,234,0
RPE1::SRRM2+ctrl,RPE1,SRRM2+ctrl,3,225,225,0
RPE1::SRSF1+ctrl,RPE1,SRSF1+ctrl,3,180,180,0
RPE1::SRSF3+ctrl,RPE1,SRSF3+ctrl,1,15,15,0
RPE1::SRSF7+ctrl,RPE1,SRSF7+ctrl,2,152,152,0
RPE1::SRSF10+ctrl,RPE1,SRSF10+ctrl,2,181,181,0
RPE1::SSU72+ctrl,RPE1,SSU72+ctrl,3,456,456,0
RPE1::STRAP+ctrl,RPE1,STRAP+ctrl,3,222,222,0
RPE1::SUGP1+ctrl,RPE1,SUGP1+ctrl,3,241,241,0
RPE1::SUPT16H+ctrl,RPE1,SUPT16H+ctrl,3,170,170,0
RPE1::SURF6+ctrl,RPE1,SURF6+ctrl,3,304,304,0
RPE1::TADA3+ctrl,RPE1,TADA3+ctrl,3,264,264,0
RPE1::TAF6+ctrl,RPE1,TAF6+ctrl,3,247,247,0
RPE1::TAF7+ctrl,RPE1,TAF7+ctrl,3,223,223,0
RPE1::TAF10+ctrl,RPE1,TAF10+ctrl,3,202,202,0
RPE1::TBCB+ctrl,RPE1,TBCB+ctrl,3,182,182,0
RPE1::TCERG1+ctrl,RPE1,TCERG1+ctrl,3,187,187,0
RPE1::TCOF1+ctrl,RPE1,TCOF1+ctrl,3,231,231,0
RPE1::TELO2+ctrl,RPE1,TELO2+ctrl,2,169,169,0
RPE1::TERF2+ctrl,RPE1,TERF2+ctrl,3,209,209,0
RPE1::THAP11+ctrl,RPE1,THAP11+ctrl,3,308,308,0
RPE1::THOC7+ctrl,RPE1,THOC7+ctrl,3,388,388,0
RPE1::TIMM9+ctrl,RPE1,TIMM9+ctrl,2,214,214,0
RPE1::TIMM13+ctrl,RPE1,TIMM13+ctrl,3,270,270,0
RPE1::TIMM23B+ctrl,RPE1,TIMM23B+ctrl,3,984,984,0
RPE1::TIMM44+ctrl,RPE1,TIMM44+ctrl,3,176,176,0
RPE1::TMX2+ctrl,RPE1,TMX2+ctrl,3,361,361,0
RPE1::TOMM22+ctrl,RPE1,TOMM22+ctrl,3,247,247,0
RPE1::TOP1+ctrl,RPE1,TOP1+ctrl,3,220,220,0
RPE1::TPR+ctrl,RPE1,TPR+ctrl,3,158,158,0
RPE1::TPX2+ctrl,RPE1,TPX2+ctrl,2,307,307,0
RPE1::TRA2B+ctrl,RPE1,TRA2B+ctrl,3,256,256,0
RPE1::TREX2+ctrl,RPE1,TREX2+ctrl,1,275,275,0
RPE1::TRMT5+ctrl,RPE1,TRMT5+ctrl,3,211,211,0
RPE1::TRMT112+ctrl,RPE1,TRMT112+ctrl,3,424,424,0
RPE1::TSEN2+ctrl,RPE1,TSEN2+ctrl,3,339,339,0
RPE1::TSG101+ctrl,RPE1,TSG101+ctrl,2,113,113,0
RPE1::TSR1+ctrl,RPE1,TSR1+ctrl,3,563,563,0
RPE1::TTI1+ctrl,RPE1,TTI1+ctrl,3,302,302,0
RPE1::TTK+ctrl,RPE1,TTK+ctrl,2,257,257,0
RPE1::TUBGCP2+ctrl,RPE1,TUBGCP2+ctrl,2,283,283,0
RPE1::TXNL4A+ctrl,RPE1,TXNL4A+ctrl,2,89,89,0
RPE1::U2AF1+ctrl,RPE1,U2AF1+ctrl,2,171,171,0
RPE1::U2SURP+ctrl,RPE1,U2SURP+ctrl,3,332,332,0
RPE1::UBA1+ctrl,RPE1,UBA1+ctrl,2,285,285,0
RPE1::UBA3+ctrl,RPE1,UBA3+ctrl,2,127,127,0
RPE1::UBA52+ctrl,RPE1,UBA52+ctrl,3,327,327,0
RPE1::UBAP1+ctrl,RPE1,UBAP1+ctrl,3,173,173,0
RPE1::UBL5+ctrl,RPE1,UBL5+ctrl,3,297,297,0
RPE1::UBQLN4+ctrl,RPE1,UBQLN4+ctrl,3,283,283,0
RPE1::UFM1+ctrl,RPE1,UFM1+ctrl,3,209,209,0
RPE1::UPF1+ctrl,RPE1,UPF1+ctrl,2,147,147,0
RPE1::UPF2+ctrl,RPE1,UPF2+ctrl,3,218,218,0
RPE1::UQCRB+ctrl,RPE1,UQCRB+ctrl,2,170,170,0
RPE1::UQCRFS1+ctrl,RPE1,UQCRFS1+ctrl,2,179,179,0
RPE1::UQCRQ+ctrl,RPE1,UQCRQ+ctrl,2,253,253,0
RPE1::USP39+ctrl,RPE1,USP39+ctrl,2,225,225,0
RPE1::USPL1+ctrl,RPE1,USPL1+ctrl,2,128,128,0
RPE1::UTP20+ctrl,RPE1,UTP20+ctrl,3,272,272,0
RPE1::UTP23+ctrl,RPE1,UTP23+ctrl,3,420,420,0
RPE1::UXT+ctrl,RPE1,UXT+ctrl,3,299,299,0
RPE1::VPS54+ctrl,RPE1,VPS54+ctrl,1,306,306,0
RPE1::WAC+ctrl,RPE1,WAC+ctrl,3,164,164,0
RPE1::WBP11+ctrl,RPE1,WBP11+ctrl,2,244,244,0
RPE1::WDHD1+ctrl,RPE1,WDHD1+ctrl,3,288,288,0
RPE1::WDR12+ctrl,RPE1,WDR12+ctrl,3,383,383,0
RPE1::WDR24+ctrl,RPE1,WDR24+ctrl,1,78,78,0
RPE1::WDR33+ctrl,RPE1,WDR33+ctrl,3,160,160,0
RPE1::WDR61+ctrl,RPE1,WDR61+ctrl,2,156,156,0
RPE1::WDTC1+ctrl,RPE1,WDTC1+ctrl,1,107,107,0
RPE1::XRCC5+ctrl,RPE1,XRCC5+ctrl,3,186,186,0
RPE1::YEATS2+ctrl,RPE1,YEATS2+ctrl,3,377,377,0
RPE1::YTHDC1+ctrl,RPE1,YTHDC1+ctrl,2,206,206,0
RPE1::ZBTB17+ctrl,RPE1,ZBTB17+ctrl,3,676,676,0
RPE1::ZC3H18+ctrl,RPE1,ZC3H18+ctrl,2,69,69,0
RPE1::ZCRB1+ctrl,RPE1,ZCRB1+ctrl,3,281,281,0
RPE1::ZFC3H1+ctrl,RPE1,ZFC3H1+ctrl,3,226,226,0
RPE1::ZMAT2+ctrl,RPE1,ZMAT2+ctrl,3,554,554,0
RPE1::ZMAT5+ctrl,RPE1,ZMAT5+ctrl,3,163,163,0
RPE1::ZNF236+ctrl,RPE1,ZNF236+ctrl,3,750,750,0
RPE1::ZNF574+ctrl,RPE1,ZNF574+ctrl,2,328,328,0
hepg2::AARS+ctrl,hepg2,AARS+ctrl,3,148,148,0
hepg2::ABCE1+ctrl,hepg2,ABCE1+ctrl,3,266,266,0
hepg2::ABCF1+ctrl,hepg2,ABCF1+ctrl,3,334,334,0
hepg2::ABT1+ctrl,hepg2,ABT1+ctrl,3,268,268,0
hepg2::ACTB+ctrl,hepg2,ACTB+ctrl,3,500,500,0
hepg2::ACTR6+ctrl,hepg2,ACTR6+ctrl,3,307,307,0
hepg2::AHCTF1+ctrl,hepg2,AHCTF1+ctrl,3,255,255,0
hepg2::AKIRIN2+ctrl,hepg2,AKIRIN2+ctrl,3,236,236,0
hepg2::ALG13+ctrl,hepg2,ALG13+ctrl,3,308,308,0
hepg2::ARGLU1+ctrl,hepg2,ARGLU1+ctrl,3,512,512,0
hepg2::ARL2+ctrl,hepg2,ARL2+ctrl,3,302,302,0
hepg2::ATP6V0B+ctrl,hepg2,ATP6V0B+ctrl,3,262,262,0
hepg2::ATP6V1A+ctrl,hepg2,ATP6V1A+ctrl,3,191,191,0
hepg2::ATR+ctrl,hepg2,ATR+ctrl,3,410,410,0
hepg2::ATRIP+ctrl,hepg2,ATRIP+ctrl,3,309,309,0
hepg2::BDP1+ctrl,hepg2,BDP1+ctrl,3,371,371,0
hepg2::BRIX1+ctrl,hepg2,BRIX1+ctrl,3,259,259,0
hepg2::BUB3+ctrl,hepg2,BUB3+ctrl,2,267,267,0
hepg2::BYSL+ctrl,hepg2,BYSL+ctrl,2,187,187,0
hepg2::CCDC59+ctrl,hepg2,CCDC59+ctrl,3,331,331,0
hepg2::CCNH+ctrl,hepg2,CCNH+ctrl,3,360,360,0
hepg2::CCT4+ctrl,hepg2,CCT4+ctrl,3,318,318,0
hepg2::CCT7+ctrl,hepg2,CCT7+ctrl,3,226,226,0
hepg2::CD3EAP+ctrl,hepg2,CD3EAP+ctrl,3,293,293,0
hepg2::CDC5L+ctrl,hepg2,CDC5L+ctrl,3,164,164,0
hepg2::CDC6+ctrl,hepg2,CDC6+ctrl,2,231,231,0
hepg2::CDC73+ctrl,hepg2,CDC73+ctrl,3,218,218,0
hepg2::CDC123+ctrl,hepg2,CDC123+ctrl,3,166,166,0
hepg2::CEP192+ctrl,hepg2,CEP192+ctrl,3,266,266,0
hepg2::CHCHD4+ctrl,hepg2,CHCHD4+ctrl,3,426,426,0
hepg2::CHD4+ctrl,hepg2,CHD4+ctrl,3,211,211,0
hepg2::CHEK1+ctrl,hepg2,CHEK1+ctrl,3,275,275,0
hepg2::CMTR1+ctrl,hepg2,CMTR1+ctrl,3,304,304,0
hepg2::CNOT2+ctrl,hepg2,CNOT2+ctrl,3,277,277,0
hepg2::COPB1+ctrl,hepg2,COPB1+ctrl,2,71,71,0
hepg2::COPS2+ctrl,hepg2,COPS2+ctrl,3,140,140,0
hepg2::COPS4+ctrl,hepg2,COPS4+ctrl,3,368,368,0
hepg2::COX7C+ctrl,hepg2,COX7C+ctrl,2,259,259,0
hepg2::COX11+ctrl,hepg2,COX11+ctrl,3,459,459,0
hepg2::CPSF1+ctrl,hepg2,CPSF1+ctrl,3,219,219,0
hepg2::CPSF3+ctrl,hepg2,CPSF3+ctrl,3,1085,1085,0
hepg2::CPSF4+ctrl,hepg2,CPSF4+ctrl,3,197,197,0
hepg2::CPSF6+ctrl,hepg2,CPSF6+ctrl,3,115,115,0
hepg2::CSE1L+ctrl,hepg2,CSE1L+ctrl,3,661,661,0
hepg2::CSNK1A1+ctrl,hepg2,CSNK1A1+ctrl,2,224,224,0
hepg2::CSNK2B+ctrl,hepg2,CSNK2B+ctrl,3,292,292,0
hepg2::CSTF3+ctrl,hepg2,CSTF3+ctrl,3,166,166,0
hepg2::CUL2+ctrl,hepg2,CUL2+ctrl,3,215,215,0
hepg2::CUL7+ctrl,hepg2,CUL7+ctrl,2,69,69,0
hepg2::CWC15+ctrl,hepg2,CWC15+ctrl,3,229,229,0
hepg2::CWC22+ctrl,hepg2,CWC22+ctrl,1,28,28,0
hepg2::CWF19L2+ctrl,hepg2,CWF19L2+ctrl,3,347,347,0
hepg2::DAP3+ctrl,hepg2,DAP3+ctrl,2,237,237,0
hepg2::DARS+ctrl,hepg2,DARS+ctrl,3,120,120,0
hepg2::DDB1+ctrl,hepg2,DDB1+ctrl,3,239,239,0
hepg2::DDX5+ctrl,hepg2,DDX5+ctrl,3,475,475,0
hepg2::DDX10+ctrl,hepg2,DDX10+ctrl,3,253,253,0
hepg2::DDX18+ctrl,hepg2,DDX18+ctrl,2,190,190,0
hepg2::DDX23+ctrl,hepg2,DDX23+ctrl,3,345,345,0
hepg2::DDX41+ctrl,hepg2,DDX41+ctrl,2,289,289,0
hepg2::DDX46+ctrl,hepg2,DDX46+ctrl,3,340,340,0
hepg2::DDX52+ctrl,hepg2,DDX52+ctrl,3,353,353,0
hepg2::DDX55+ctrl,hepg2,DDX55+ctrl,3,611,611,0
hepg2::DENR+ctrl,hepg2,DENR+ctrl,3,357,357,0
hepg2::DHX16+ctrl,hepg2,DHX16+ctrl,3,457,457,0
hepg2::DHX33+ctrl,hepg2,DHX33+ctrl,3,284,284,0
hepg2::DHX36+ctrl,hepg2,DHX36+ctrl,3,425,425,0
hepg2::DHX37+ctrl,hepg2,DHX37+ctrl,3,373,373,0
hepg2::DKC1+ctrl,hepg2,DKC1+ctrl,3,165,165,0
hepg2::DLD+ctrl,hepg2,DLD+ctrl,3,401,401,0
hepg2::DMAP1+ctrl,hepg2,DMAP1+ctrl,3,147,147,0
hepg2::DNAJC8+ctrl,hepg2,DNAJC8+ctrl,3,522,522,0
hepg2::DNAJC17+ctrl,hepg2,DNAJC17+ctrl,3,182,182,0
hepg2::DNM1L+ctrl,hepg2,DNM1L+ctrl,2,185,185,0
hepg2::DNMT1+ctrl,hepg2,DNMT1+ctrl,3,403,403,0
hepg2::DNTTIP2+ctrl,hepg2,DNTTIP2+ctrl,2,300,300,0
hepg2::DR1+ctrl,hepg2,DR1+ctrl,3,195,195,0
